Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
33233,Butyl acetate,Valid,"Acetic acid, butyl ester",n-Butyl acetate,123-86-4,,,C6H12O2,Active
52654,Cadmium acetate,Valid,"Acetic acid, cadmium salt (2:1)",Cadmium acetate,543-90-8,,,C2H4O2.1/2Cd,Active
76950,Chromic acetate,Valid,"Acetic acid, chromium(3+) salt (3:1)",Chromium(III) acetate,1066-30-4,,,C2H4O2.1/3Cr,Active
38901,Crystalized verdigris,Valid,"Acetic acid, copper(2+) salt (2:1)",Cupric acetate,142-71-2,,,C2H4O2.1/2Cu,Active
38901,Cupric acetate,Valid,"Acetic acid, copper(2+) salt (2:1)",Cupric acetate,142-71-2,,,C2H4O2.1/2Cu,Active
38901,Copper acetate,Valid,"Acetic acid, copper(2+) salt (2:1)",Cupric acetate,142-71-2,,,C2H4O2.1/2Cu,Active
41483,Sugar of lead,Valid,"Acetic acid, lead(2+) salt (2:1)",Lead(II) acetate,301-04-2,,,C2H4O2.1/2Pb,Active
41483,Lead acetate,Valid,"Acetic acid, lead(2+) salt (2:1)",Lead(II) acetate,301-04-2,,,C2H4O2.1/2Pb,Active
64394,Amly acetate,Valid,"Acetic acid, pentyl ester",n-Amyl acetate,628-63-7,,,C7H14O2,Active
64394,Amylacetic ester,Valid,"Acetic acid, pentyl ester",n-Amyl acetate,628-63-7,,,C7H14O2,Active
54262,Zinc acetate,Valid,"Acetic acid, zinc salt (2:1)",Zinc acetate,557-34-6,,,C2H4O2.1/2Zn,Active
49130,Acetyl bromide,Valid,Acetyl bromide,Acetyl bromide,506-96-7,,,C2H3BrO,Active
7781,Acetyl chloride,Inaccurate,"Acetyl chloride, 2,2-dichloro-",Dichloroacetyl chloride,79-36-7,,,C2HCl3O,Active
5280,Ethyl aldehyde,Valid,Acetaldehyde,Acetaldehyde,75-07-0,,,C2H4O,Active
5280,Ethanal,Valid,Acetaldehyde,Acetaldehyde,75-07-0,,,C2H4O,Active
5280,Acetaldehyde,Valid,Acetaldehyde,Acetaldehyde,75-07-0,,,C2H4O,Active
5280,Acetic aldehyde,Valid,Acetaldehyde,Acetaldehyde,75-07-0,,,C2H4O,Active
152389,Ammonia,Valid,Ammonia,Ammonia,7664-41-7,,,H3N,Active
179416,Sal ammoniac,Valid,Ammonium chloride ((NH4)Cl),Ammonium chloride,12125-02-9,,,ClH4N,Active
179416,Amchlor,Valid,Ammonium chloride ((NH4)Cl),Ammonium chloride,12125-02-9,,,ClH4N,Active
179416,Ammonium chloride,Valid,Ammonium chloride ((NH4)Cl),Ammonium chloride,12125-02-9,,,ClH4N,Active
179416,Salmiac,Valid,Ammonium chloride ((NH4)Cl),Ammonium chloride,12125-02-9,,,ClH4N,Active
179416,Ammonium muriate,Valid,Ammonium chloride ((NH4)Cl),Ammonium chloride,12125-02-9,,,ClH4N,Active
86033,Ammonium hydrogen fluoride,Valid,Ammonium fluoride ((NH4)(HF2)),Ammonium bifluoride,1341-49-7,,,F2H.H4N,Active
86033,Acid ammonium fluoride,Valid,Ammonium fluoride ((NH4)(HF2)),Ammonium bifluoride,1341-49-7,,,F2H.H4N,Active
86033,Ammonium bifluoride,Valid,Ammonium fluoride ((NH4)(HF2)),Ammonium bifluoride,1341-49-7,,,F2H.H4N,Active
179408,Ammonium fluoride,Valid,Ammonium fluoride ((NH4)F),Ammonium fluoride,12125-01-8,,,FH4N,Active
179408,Neutral ammonium fluoride,Valid,Ammonium fluoride ((NH4)F),Ammonium fluoride,12125-01-8,,,FH4N,Active
85860,Ammonium hydroxide,Valid,Ammonium hydroxide ((NH4)(OH)),Ammonium hydroxide,1336-21-6,,,H5NO,Active
179606,Ammonium sulfide,Valid,Ammonium sulfide ((NH4)2S),Ammonium sulfide,12135-76-1,,,H8N2S,Active
295931,Zinc ammonium chloride,Valid,Ammonium zinc chloride,Zinc ammonium chloride,52628-25-8,,,Cl.H4N.Zn,Active
248807,Tartrated antimony,Valid,"Antimonate(2-), bis[.mu.-[2,3-di(hydroxy-.kappa.O)butanedioato(4-)-.kappa.O1:.kappa.O4]]di-, dipotassium, trihydrate, stereoisomer",Antimony potassium tartrate,28300-74-5,,,C8H4O12Sb2.3H2O.2K,Active
248807,Antimony potassium tartrate,Valid,"Antimonate(2-), bis[.mu.-[2,3-di(hydroxy-.kappa.O)butanedioato(4-)-.kappa.O1:.kappa.O4]]di-, dipotassium, trihydrate, stereoisomer",Antimony potassium tartrate,28300-74-5,,,C8H4O12Sb2.3H2O.2K,Active
248807,Potassium antimonyltartrate,Valid,"Antimonate(2-), bis[.mu.-[2,3-di(hydroxy-.kappa.O)butanedioato(4-)-.kappa.O1:.kappa.O4]]di-, dipotassium, trihydrate, stereoisomer",Antimony potassium tartrate,28300-74-5,,,C8H4O12Sb2.3H2O.2K,Active
248807,Tartar emetic,Valid,"Antimonate(2-), bis[.mu.-[2,3-di(hydroxy-.kappa.O)butanedioato(4-)-.kappa.O1:.kappa.O4]]di-, dipotassium, trihydrate, stereoisomer",Antimony potassium tartrate,28300-74-5,,,C8H4O12Sb2.3H2O.2K,Active
248807,Tartarized antimony,Valid,"Antimonate(2-), bis[.mu.-[2,3-di(hydroxy-.kappa.O)butanedioato(4-)-.kappa.O1:.kappa.O4]]di-, dipotassium, trihydrate, stereoisomer",Antimony potassium tartrate,28300-74-5,,,C8H4O12Sb2.3H2O.2K,Active
152280,Antimony pentachloride,Valid,Antimony chloride (SbCl5),Antimony pentachloride,7647-18-9,,,Cl5Sb,Active
82545,Diantimony trioxide,Valid,Antimony oxide (Sb2O3),Antimony trioxide,1309-64-4,,,O3Sb2,Active
82545,Flowers of antimony,Valid,Antimony oxide (Sb2O3),Antimony trioxide,1309-64-4,,,O3Sb2,Active
82545,Antimony trioxide,Valid,Antimony oxide (Sb2O3),Antimony trioxide,1309-64-4,,,O3Sb2,Active
183020,Aroclor,Valid,Aroclor,Aroclor (unspecified),12767-79-2,,,Unspecified,
155101,Sodium metaarsenite,Valid,"Arsenenous acid, sodium salt (1:1)",Sodium arsenite,7784-46-5,,,AsHO2.Na,Active
155101,Sodium arsenite,Valid,"Arsenenous acid, sodium salt (1:1)",Sodium arsenite,7784-46-5,,,AsHO2.Na,Active
153890,Tricalcium orthoarsenate,Valid,"Arsenic acid (H3AsO4), calcium salt (2:3)",Calcium arsenate,7778-44-1,,,AsH3O4.3/2Ca,Active
153890,Calcium arsenate,Valid,"Arsenic acid (H3AsO4), calcium salt (2:3)",Calcium arsenate,7778-44-1,,,AsH3O4.3/2Ca,Active
155069,Lead arsenate,Valid,"Arsenic acid (H3AsO4), lead(2+) salt (1:1)",Lead(II) arsenate (1:1),7784-40-9,,,AsH3O4.Pb,Active
167940,Lead arsenate,Valid,"Arsenic acid (H3AsO4), lead(4+) salt (3:2)",Lead(IV) arsenate (2:3),10102-48-4,,,AsH3O4.2/3Pb,Active
155077,Potassium arsenate,Valid,"Arsenic acid (H3AsO4), potassium salt (1:1)",Potassium arsenate,7784-41-0,,,AsH3O4.K,Active
151985,Disodium arsenate,Valid,"Arsenic acid (H3AsO4), sodium salt (1:?)",Sodium arsenate,7631-89-2,,,AsH3O4.xNa,Active
151985,Sodium arsenate,Valid,"Arsenic acid (H3AsO4), sodium salt (1:?)",Sodium arsenate,7631-89-2,,,AsH3O4.xNa,Active
84749,Arsenious acid,Valid,Arsenic oxide (As2O3),Arsenic(III) trioxide,1327-53-3,,,As2O3,Active
84749,Arsenious oxide,Valid,Arsenic oxide (As2O3),Arsenic(III) trioxide,1327-53-3,,,As2O3,Active
84749,White arsenic,Valid,Arsenic oxide (As2O3),Arsenic(III) trioxide,1327-53-3,,,As2O3,Active
84749,Arsenic trioxide,Valid,Arsenic oxide (As2O3),Arsenic(III) trioxide,1327-53-3,,,As2O3,Active
82057,Arsenic oxide,Ambiguous,Arsenic oxide (As2O5),Arsenic(V) pentoxide,1303-28-2,,,As.O,Active
82057,Arsenic pentoxide,Valid,Arsenic oxide (As2O5),Arsenic(V) pentoxide,1303-28-2,,,As.O,Active
82057,Arsenic acid anhydride,Valid,Arsenic oxide (As2O5),Arsenic(V) pentoxide,1303-28-2,,,As.O,Active
82073,Yellow arsenic sulfide,Valid,Arsenic sulfide (As2S3),Arsenic trisulfide,1303-33-9,,,As2S3,Active
82073,Arsenic trisulfide,Valid,Arsenic sulfide (As2S3),Arsenic trisulfide,1303-33-9,,,As2S3,Active
82073,Arsenious sulfide,Valid,Arsenic sulfide (As2S3),Arsenic trisulfide,1303-33-9,,,As2S3,Active
155036,Butter of arsenic,Valid,Arsenous trichloride,Arsenic(III) chloride,7784-34-1,,,AsCl3,Active
155036,Arsenious chloride,Valid,Arsenous trichloride,Arsenic(III) chloride,7784-34-1,,,AsCl3,Active
155036,Arsenic trichloride,Valid,Arsenous trichloride,Arsenic(III) chloride,7784-34-1,,,AsCl3,Active
155036,Arsenic chloride,Ambiguous,Arsenous trichloride,Arsenic(III) chloride,7784-34-1,,,AsCl3,Active
155036,Arsenous chloride,Valid,Arsenous trichloride,Arsenic(III) chloride,7784-34-1,,,AsCl3,Active
776005,Arsenic disulfide,Valid,"Arsino, thioxo-",Arsenic sulfide (AsS),12044-79-0,,,AsS,Active
776005,Red arsenic sulfide,Valid,"Arsino, thioxo-",Arsenic sulfide (AsS),12044-79-0,,,AsS,Active
296491,Calcium arsenite,Valid,"Arsonic acid, calcium salt (1:1)",Calcium arsenite,52740-16-6,,,AsH3O3.Ca,Active
168351,Potassium metaarsenite,Valid,"Arsonic acid, potassium salt",Potassium arsenite,10124-50-2,,,AsH3O3.xK,Active
168351,Potassium arsenite,Valid,"Arsonic acid, potassium salt",Potassium arsenite,10124-50-2,,,AsH3O3.xK,Active
52423,Barium cyanide,Valid,Barium cyanide (Ba(CN)2),Barium cyanide,542-62-1,,,C2BaN2,Active
3632,Kyanol,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
3632,Phenylamine,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
3632,Aniline,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
3632,Aminobenzene,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
3632,Aminophen,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
3632,Aniline oil,Valid,Benzenamine,Aniline,62-53-3,,,C6H7N,Active
4754,Cyclohexatriene,Valid,Benzene,Benzene,71-43-2,,,C6H6,Active
4754,Benzol,Valid,Benzene,Benzene,71-43-2,,,C6H6,Active
4754,Benzene,Valid,Benzene,Benzene,71-43-2,,,C6H6,Active
19430,Benzyl chloride,Valid,"Benzene, (chloromethyl)-",Benzyl chloride,100-44-7,,,C7H7Cl,Active
1107,DDT,Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-","p,p'-DDT",50-29-3,,,C14H9Cl5,Active
1107,"p,p'-DDT",Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-","p,p'-DDT",50-29-3,,,C14H9Cl5,Active
4903,Methoxychlor,Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-methoxy-",Methoxychlor,72-43-5,,,C16H15Cl3O2,Active
4903,DMDT,Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-methoxy-",Methoxychlor,72-43-5,,,C16H15Cl3O2,Active
4903,Methoxy-DDT,Valid,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-methoxy-",Methoxychlor,72-43-5,,,C16H15Cl3O2,Active
4937,TDE,Valid,"Benzene, 1,1'-(2,2-dichloroethylidene)bis[4-chloro-","p,p'-DDD",72-54-8,,,C14H10Cl4,Active
4937,DDD,Valid,"Benzene, 1,1'-(2,2-dichloroethylidene)bis[4-chloro-","p,p'-DDD",72-54-8,,,C14H10Cl4,Active
16162,ortho-Dichlorobenzene,Valid,"Benzene, 1,2-dichloro-",o-Dichlorobenzene,95-50-1,,,C6H4Cl2,Active
16139,o-Xylene,Valid,"Benzene, 1,2-dimethyl-",o-Xylene,95-47-6,,,C8H10,Active
50344,o-Dinitrobenzene,Valid,"Benzene, 1,2-dinitro-",o-Dinitrobenzene,528-29-0,,,C6H4N2O4,Active
25056,m-Xylene,Valid,"Benzene, 1,3-dimethyl-",m-Xylene,108-38-3,,,C8H10,Active
18846,m-Dinitrobenzene,Valid,"Benzene, 1,3-dinitro-",m-Dinitrobenzene,99-65-0,,,C6H4N2O4,Active
23622,Paramoth (Para),Valid,"Benzene, 1,4-dichloro-",p-Dichlorobenzene,106-46-7,,,C6H4Cl2,Active
23622,para-Dichlorobenzene,Valid,"Benzene, 1,4-dichloro-",p-Dichlorobenzene,106-46-7,,,C6H4Cl2,Active
23622,Di-chloricide,Valid,"Benzene, 1,4-dichloro-",p-Dichlorobenzene,106-46-7,,,C6H4Cl2,Active
23580,p-Xylene,Valid,"Benzene, 1,4-dimethyl-",p-Xylene,106-42-3,,,C8H10,Active
19307,p-Dinitrobenzene,Valid,"Benzene, 1,4-dinitro-",p-Dinitrobenzene,100-25-4,,,C6H4N2O4,Active
31575,"2,4-Dinitrotoluene",Valid,"Benzene, 1-methyl-2,4-dinitro-","2,4-Dinitrotoluene",121-14-2,,,C7H6N2O4,Active
11973,ortho-Nitrotoluene,Valid,"Benzene, 1-methyl-2-nitro-",o-Nitrotoluene,88-72-2,,,C7H7NO2,Active
18499,meta-Nitrotoluene,Valid,"Benzene, 1-methyl-3-nitro-",m-Nitrotoluene,99-08-1,,,C7H7NO2,Active
19083,para-Nitrotoluene,Valid,"Benzene, 1-methyl-4-nitro-",p-Nitrotoluene,99-99-0,,,C7H7NO2,Active
58875,"2,6-Dinitrotoluene",Valid,"Benzene, 2-methyl-1,3-dinitro-","2,6-Dinitrotoluene",606-20-2,,,C7H6N2O4,Active
59675,"3,4-Dinitrotoluene",Valid,"Benzene, 4-methyl-1,2-dinitro-","3,4-Dinitrotoluene",610-39-9,,,C7H6N2O4,Active
25478,Benzene chloride,Valid,"Benzene, chloro-",Chlorobenzene,108-90-7,,,C6H5Cl,Active
25478,Chlorobenzene,Valid,"Benzene, chloro-",Chlorobenzene,108-90-7,,,C6H5Cl,Active
25478,Monochlorobenzene,Valid,"Benzene, chloro-",Chlorobenzene,108-90-7,,,C6H5Cl,Active
231902,Dichlorobenzene,Valid,"Benzene, dichloro-",Dichlorobenzene,25321-22-6,,,C6H4Cl2,Active
84970,Xylol,Valid,"Benzene, dimethyl-",Xylene,1330-20-7,,,C8H10,Active
84970,Dimethylbenzene,Valid,"Benzene, dimethyl-",Xylene,1330-20-7,,,C8H10,Active
84970,Xylene (mixed),Valid,"Benzene, dimethyl-",Xylene,1330-20-7,,,C8H10,Active
230326,Dinitrobenzol,Valid,"Benzene, dinitro-",Dinitrobenzene,25154-54-5,,,C6H4N2O4,Active
230326,Dinitrobenzene (mixed),Valid,"Benzene, dinitro-",Dinitrobenzene,25154-54-5,,,C6H4N2O4,Active
19414,Styrene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Cinnamene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Cinnamol,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Phenylethylene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Styrol,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Styrolene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19414,Vinylbenzene,Valid,"Benzene, ethenyl-",Styrene,100-42-5,,,C8H8,Active
19406,Phenylethane,Valid,"Benzene, ethyl-",Ethylbenzene,100-41-4,,,C8H10,Active
19406,Ethylbenzene,Valid,"Benzene, ethyl-",Ethylbenzene,100-41-4,,,C8H10,Active
25452,Toluol,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,Active
25452,Toluene,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,Active
25452,Methacide,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,Active
25452,Methylbenzene,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,Active
25452,Phenylmethane,Valid,"Benzene, methyl-",Toluene,108-88-3,,,C7H8,Active
231894,DNT,Valid,"Benzene, methyldinitro-",Dinitrotoluene,25321-14-6,,,C7H6N2O4,Active
231894,Dinitrotoluene,Valid,"Benzene, methyldinitro-",Dinitrotoluene,25321-14-6,,,C7H6N2O4,Active
83691,Nitrotoluene,Valid,"Benzene, methylnitro-",Nitrotoluene,1321-12-6,,,C7H7NO2,Active
18408,Oil of mirbane,Valid,"Benzene, nitro-",Nitrobenzene,98-95-3,,,C6H5NO2,Active
18408,Nitrobenzene,Valid,"Benzene, nitro-",Nitrobenzene,98-95-3,,,C6H5NO2,Active
18408,Nitrobenzol,Valid,"Benzene, nitro-",Nitrobenzene,98-95-3,,,C6H5NO2,Active
10025,n/Butyl phthalate,Misspelled,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",Dibutyl phthalate,84-74-2,,,C16H22O4,Active
10025,Dibutyl phthalate,Valid,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",Dibutyl phthalate,84-74-2,,,C16H22O4,Active
10025,"1.2-Benzenedicarboxylic acid, dibutyl ester",Valid,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",Dibutyl phthalate,84-74-2,,,C16H22O4,Active
25130,Resorcin,Valid,"1,3-Benzenediol",Resorcinol,108-46-3,,,C6H6O2,Active
25130,"1,3-Benzenediol",Valid,"1,3-Benzenediol",Resorcinol,108-46-3,,,C6H6O2,Active
25130,Resorcinol,Valid,"1,3-Benzenediol",Resorcinol,108-46-3,,,C6H6O2,Active
25130,meta-Dihydroxybenzene,Valid,"1,3-Benzenediol",Resorcinol,108-46-3,,,C6H6O2,Active
29157,DTMC,Valid,"Benzenemethanol, 4-chloro-.alpha.-(4-chlorophenyl)-.alpha.-(trichloromethyl)-",Dicofol,115-32-2,,,C14H9Cl5O,Active
29157,Kelthane,Trade Name,"Benzenemethanol, 4-chloro-.alpha.-(4-chlorophenyl)-.alpha.-(trichloromethyl)-",Dicofol,115-32-2,,,C14H9Cl5O,Active
29157,Dicofol,Valid,"Benzenemethanol, 4-chloro-.alpha.-(4-chlorophenyl)-.alpha.-(trichloromethyl)-",Dicofol,115-32-2,,,C14H9Cl5O,Active
29157,Di(p-chlorophenyl)trichloromethylcarbinol,Valid,"Benzenemethanol, 4-chloro-.alpha.-(4-chlorophenyl)-.alpha.-(trichloromethyl)-",Dicofol,115-32-2,,,C14H9Cl5O,Active
34413,Zinc sulfocarbolate,Valid,"Benzenesulfonic acid, 4-hydroxy-, zinc salt (2:1)",Zinc phenolsulfonate,127-82-2,,,C6H6O4S.1/2Zn,Active
34413,Zinc phenolsulfonate,Valid,"Benzenesulfonic acid, 4-hydroxy-, zinc salt (2:1)",Zinc phenolsulfonate,127-82-2,,,C6H6O4S.1/2Zn,Active
244327,Dodecylbenzenesulfonic acid,Valid,"Benzenesulfonic acid, dodecyl-",Dodecylbenzenesulfonic acid,27176-87-0,,,C18H30O3S,Active
238014,Calcium dodecylbenzenesulfonate,Valid,"Benzenesulfonic acid, dodecyl-, calcium salt (2:1)",Calcium dodecylbenzenesulfonate,26264-06-2,,,C18H30O3S.1/2Ca,Active
285593,Isopropanolamine dodecylbenzenesulfonate,Valid,"Benzenesulfonic acid, dodecyl-, compd. with 1-amino-2-propanol (1:1)",Isopropanolamine dodecylbenzenesulfonate,42504-46-1,,,C18H30O3S.C3H9NO,Active
245308,Triethanolamine dodecylbenzenesulfonate,Valid,"Benzenesulfonic acid, dodecyl-, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)",Triethanolamine dodecylbenzenesulfonate,27323-41-7,,,C18H30O3S.C6H15NO3,Active
230425,Sodium dodecylbenzene-sulfonate,Valid,"Benzenesulfonic acid, dodecyl-, sodium salt (1:1)",Sodium dodecylbenzenesulfonate,25155-30-0,,,C18H30O3S.Na,Active
88666,Furadan,Trade Name,"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-, 7-(N-methylcarbamate)",Carbofuran,1563-66-2,,,C12H15NO3,Active
88666,Carbofuran,Valid,"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-, 7-(N-methylcarbamate)",Carbofuran,1563-66-2,,,C12H15NO3,Active
4044,Phenylformic acid,Valid,Benzoic acid,Benzoic acid,65-85-0,,,C7H6O2,Active
4044,Benzoic acid,Valid,Benzoic acid,Benzoic acid,65-85-0,,,C7H6O2,Active
4044,Benzenecarboxylic acid,Valid,Benzoic acid,Benzoic acid,65-85-0,,,C7H6O2,Active
4044,Dracylic acid,Valid,Benzoic acid,Benzoic acid,65-85-0,,,C7H6O2,Active
