Contaminant,"MCL or TT1
(mg/L)2",Potential health effects from long-term3 exposure above the MCL,Common sources of contaminant in drinking water,Public Health Goal (mg/L)2
Chloramines (as Cl2),MRDL=4.01,Eye/nose irritation; stomach discomfort; anemia,Water additive used to control microbes,MRDLG=41
Chlordane,0.002,Liver or nervous system problems; increased risk of cancer,Residue of banned termiticide,zero
Chlorine (as Cl2),MRDL=4.01,Eye/nose irritation; stomach discomfort,Water additive used to control microbes,MRDLG=41
Chlorine dioxide (as ClO2),MRDL=0.81,"Anemia; infants, young children, and fetuses of pregnant women: nervous system effects",Water additive used to control microbes,MRDLG=0.81
Chlorite,1,"Anemia; infants, young children, and fetuses of pregnant women: nervous system effects",Byproduct of drinking water disinfection,0.8
Chlorobenzene,0.1,Liver or kidney problems,Discharge from chemical and agricultural chemical factories,0.1
Chromium (total),0.1,Allergic dermatitis,Discharge from steel and pulp mills; erosion of natural deposits,0.1
Copper,TT5; Action Level=1.3,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,Corrosion of household plumbing systems; erosion of natural deposits,1.3
Cryptosporidium,TT7,"Short-term exposure: Gastrointestinal illness (e.g., diarrhea, vomiting, cramps)",Human and animal fecal waste,zero
"Cyanide
(as free cyanide)",0.2,Nerve damage or thyroid problems,Discharge from steel/metal factories; discharge from plastic and fertilizer factories,0.2
"2,4-D",0.07,"Kidney, liver, or adrenal gland problems",Runoff from herbicide used on row crops,0.07
Dalapon,0.2,Minor kidney changes,Runoff from herbicide used on rights of way,0.2
"1,2-Dibromo-3- chloropropane (DBCP)",0.0002,Reproductive difficulties; increased risk of cancer,"Runoff/leaching from soil fumigant used on soybeans, cotton, pineapples, and orchards",zero
o-Dichlorobenzene,0.6,"Liver, kidney, or circulatory system problems",Discharge from industrial chemical factories,0.6
p-Dichlorobenzene,0.075,"Anemia; liver, kidney, or spleen damage; changes in blood",Discharge from industrial chemical factories,0.075
"1,2-Dichloroethane",0.005,Increased risk of cancer,Discharge from industrial chemical factories,zero
"1,1-Dichloroethylene",0.007,Liver problems,Discharge from industrial chemical factories,0.007
"cis-1,2- Dichloroethylene",0.07,Liver problems,Discharge from industrial chemical factories,0.07
"trans-1,2, Dichloroethylene",0.1,Liver problems,Discharge from industrial chemical factories,0.1
Dichloromethane,0.005,Liver problems; increased risk of cancer,Discharge from industrial chemical factories,zero
"1,2-Dichloropropane",0.005,Increased risk of cancer,Discharge from industrial chemical factories,zero
Di(2-ethylhexyl) adipate,0.4,"Weight loss, liver problems, or possible reproductive difficulties",Discharge from chemical factories,0.4
Di(2-ethylhexyl) phthalate,0.006,Reproductive difficulties; liver problems; increased risk of cancer,Discharge from rubber and chemical factories,zero
Dinoseb,0.007,Reproductive difficulties,Runoff from herbicide used on soybeans and vegetables,0.007
"Dioxin (2,3,7,8-TCDD)",0.00000003,Reproductive difficulties; increased risk of cancer,Emissions from waste incineration and other combustion; discharge from chemical factories,zero
Diquat,0.02,Cataracts,Runoff from herbicide use,0.02
Endothall,0.1,Stomach and intestinal problems,Runoff from herbicide use,0.1
Endrin,0.002,Liver problems,Residue of banned insecticide,0.002
Epichlorohydrin,TT4,Increased cancer risk; stomach problems,Discharge from industrial chemical factories; an impurity of some water treatment chemicals,zero
Ethylbenzene,0.7,Liver or kidney problems,Discharge from petroleum refineries,0.7
Ethylene dibromide,0.00005,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",Discharge from petroleum refineries,zero
"Fecal coliform and
E. coli",MCL6,"Microbes in these wastes may cause short term effects, such as diarrhea, cramps, nausea, headaches, or other symptoms. They may pose a special health risk for infants, young children, and people with severely compromised immune systems.","Fecal coliforms and E. coli are bacteria whose presence indicates that the water may be contaminated with human or animal wastes.
",zero6
Fluoride,4,Bone disease (pain and tenderness of the bones); children may get mottled teeth,Water additive which promotes strong teeth; erosion of natural deposits; discharge from fertilizer and aluminum factories,4
Giardia lamblia,TT7,"Short-term exposure: Gastrointestinal illness (e.g., diarrhea, vomiting, cramps)",Human and animal fecal waste,zero
Glyphosate,0.7,Kidney problems; reproductive difficulties,Runoff from herbicide use,0.7
Haloacetic acids (HAA5),0.06,Increased risk of cancer,Byproduct of drinking water disinfection,n/a9
Heptachlor,0.0004,Liver damage; increased risk of cancer,Residue of banned termiticide,zero
Heptachlor epoxide,0.0002,Liver damage; increased risk of cancer,Breakdown of heptachlor,zero
Heterotrophic plate count (HPC),TT7,"HPC has no health effects; it is an analytic method used to measure the variety of bacteria that are common in water. The lower
the concentration of bacteria in drinking water, the better
maintained the water system is.",HPC measures a range of bacteria that are naturally present in the environment,n/a
Hexachlorobenzene,0.001,Liver or kidney problems; reproductive difficulties; increased risk of cancer,Discharge from metal refineries and agricultural chemical factories,zero
Hexachloro- cyclopentadiene,0.05,Kidney or stomach problems,Discharge from chemical factories,0.05
Lead,TT5; Action Level=0.015,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,Corrosion of household plumbing systems; erosion of natural deposits,zero
Legionella,TT7,"Legionnaire’s Disease, a type of pneumonia",Found naturally in water; multiplies in heating systems,zero
Lindane,0.0002,Liver or kidney problems,"Runoff/leaching from insecticide used on cattle, lumber, and gardens",0.0002
Mercury (inorganic),0.002,Kidney damage,Erosion of natural deposits; discharge from refineries and factories; runoff from landfills and croplands,0.002
Methoxychlor,0.04,Reproductive difficulties,"Runoff/leaching from insecticide used on fruits, vegetables, alfalfa, and livestock",0.04
Nitrate (measured as Nitrogen),10,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die.
Symptoms include shortness of breath and blue-baby syndrome.","Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits",10
Nitrite (measured as Nitrogen),1,"Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die.
Symptoms include shortness of breath and blue-baby syndrome.","Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits",1
Oxamyl (Vydate),0.2,Slight nervous system effects,"Runoff/leaching from insecticide used on apples, potatoes, and tomatoes",0.2
Pentachlorophenol,0.001,Liver or kidney problems; increased cancer risk,Discharge from wood-preserving factories,zero
Picloram,0.5,Liver problems,Herbicide runoff,0.5
Polychlorinated biphenyls (PCBs),0.0005,Skin changes; thymus gland problems; immune deficiencies; reproductive or nervous system difficulties; increased risk of cancer,Runoff from landfills; discharge of waste chemicals,zero
"Radium 226
and Radium 228 (combined)",5 pCi/L,Increased risk of cancer,Erosion of natural deposits,zero
Selenium,0.05,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,Discharge from petroleum and metal refineries; erosion of natural deposits; discharge from mines,0.05
Simazine,0.004,Problems with blood,Herbicide runoff,0.004
Styrene,0.1,"Liver, kidney, or circulatory system problems",Discharge from rubber and plastic factories; leaching from landfills,0.1
Tetrachloroethylene,0.005,Liver problems; increased risk of cancer,Discharge from factories and dry cleaners,zero
Thallium,0.002,"Hair loss; changes in blood; kidney, intestine, or liver problems","Leaching from ore-processing sites; discharge from electronics, glass, and drug factories",0.0005
Toluene,1,"Nervous system, kidney, or liver problems",Discharge from petroleum factories,1
Total Coliforms,5.0 percent8,"Coliforms are bacteria that indicate that other, potentially harmful bacteria may be present. See fecal coliforms and E. coli",Naturally present in the environment,zero
Total Trihalomethanes (TTHMs),0.08,"Liver, kidney, or central nervous system problems; increased risk of cancer",Byproduct of drinking water disinfection,n/a9
Toxaphene,0.003,"Kidney, liver, or thyroid problems; increased risk of cancer",Runoff/leaching from insecticide used on cotton and cattle,zero
"2,4,5-TP (Silvex)",0.05,Liver problems,Residue of banned herbicide,0.05
"1,2,4-
Trichlorobenzene",0.07,Changes in adrenal glands,Discharge from textile finishing factories,0.07
"1,1,1-
Trichloroethane",0.2,"Liver, nervous system, or circulatory problems",Discharge from metal degreasing sites and other factories,0.2
"1,1,2-
Trichloroethane",0.005,"Liver, kidney, or immune system problems",Discharge from industrial chemical factories,0.003
Trichloroethylene,0.005,Liver problems; increased risk of cancer,Discharge from metal degreasing sites and other factories,zero
Turbidity,TT7,"Turbidity is a measure of the cloudiness of water. It is used to indicate water quality and filtration effectiveness (e.g., whether disease- causing organisms are present). Higher turbidity levels are often associated with higher levels of disease-causing microorganisms such as viruses, parasites, and some bacteria. These organisms can cause short term symptoms such as nausea, cramps, diarrhea, and associated headaches.",Soil runoff,n/a
Uranium,30μg/L,"Increased risk of cancer, kidney toxicity",Erosion of natural deposits,zero
Vinyl chloride,0.002,Increased risk of cancer,Leaching from PVC pipes; discharge from plastic factories,zero
Viruses (enteric),TT7,"Short-term exposure: Gastrointestinal illness (e.g., diarrhea, vomiting, cramps)",Human and animal fecal waste,zero
Xylenes (total),10,Nervous system damage,Discharge from petroleum factories; discharge from chemical factories,10
